Ticker,ETF_Ticker,ETF_Name,Category,Expense_Ratio,Weightage
UNH,IYH,iShares U.S. Healthcare ETF,Health & Biotech Equities,0.43,8.01
UNH,FHLC,Fidelity MSCI Health Care Index ETF,Health & Biotech Equities,0.08,7.04
UNH,VHT,Vanguard Health Care ETF,Health & Biotech Equities,0.1,6.3
UNH,CACG,ClearBridge All Cap Growth ESG ETF,Large Cap Growth Equities,0.53,6.04
UNH,IXJ,iShares Global Healthcare ETF,Health & Biotech Equities,0.43,5.94
VFC,RNDV,US Equity Dividend Select ETF,Large Cap Blend Equities,0.5,1.94
VFC,NOBL,ProShares S&P 500 Dividend Aristocrats ETF,Large Cap Blend Equities,0.35,1.6
VFC,KNG,FT Cboe Vest S&P 500 Dividend Aristocrats Target Income ETF,Large Cap Blend Equities,0.75,1.6
WAB,FTXR,First Trust Nasdaq Transportation ETF,Industrials Equities,0.6,3.89
WELL,REZ,iShares Residential and Multisector Real Estate ETF,Real Estate,0.48,7.41
WELL,FPRO,Fidelity Real Estate Investment ETF,Global Real Estate,0.59,5.53
WELL,ICF,iShares Cohen & Steers REIT ETF,Real Estate,0.33,3.93
WELL,XLRE,Real Estate Select Sector SPDR Fund,Real Estate,0.12,3.56
WELL,RWR,SPDR Dow Jones REIT ETF,Real Estate,0.25,3.46
WELL,FRI,First Trust S&P REIT Index Fund,Real Estate,0.5,3.0
WELL,USRT,iShares Core U.S. REIT ETF,Real Estate,0.08,2.97
WELL,BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate,0.11,2.94
WELL,SCHH,Schwab US REIT ETF,Real Estate,0.07,2.45
WELL,IYR,iShares U.S. Real Estate ETF,Real Estate,0.41,2.44
ZION,FTXO,First Trust Nasdaq Bank ETF,Financials Equities,0.6,4.11
ZION,FOVL,iShares Focused Value Factor ETF,All Cap Equities,0.25,2.87
ZION,KRE,SPDR S&P Regional Banking ETF,Financials Equities,0.35,1.97
ZION,RYF,Invesco S&P 500® Equal Weight Financials ETF,Financials Equities,0.4,1.63
ZION,QDIV,Global X S&P 500 Quality Dividend ETF,Large Cap Blend Equities,0.2,1.54
ZION,DFAT,Dimensional U.S. Targeted Value ETF,N/A,0.34,0.53
ZION,ESML,iShares ESG Aware MSCI USA Small-Cap ETF,Small Cap Growth Equities,0.17,0.37
ADM,FTXG,First Trust Nasdaq Food & Beverage ETF,Consumer Staples Equities,0.6,8.35
ADM,VEGI,iShares MSCI Global Agriculture Producers ETF,Large Cap Blend Equities,0.39,6.62
ADM,NANR,SPDR S&P North American Natural Resources ETF,Commodity Producers Equities,0.35,6.18
ADM,FTRI,First Trust Indxx Global Natural Resources Income ETF,Commodity Producers Equities,0.7,5.25
ADM,JZRO,Janus Henderson Net Zero Transition Resources ETF,N/A,0.6,4.86
ADM,SXUS,Janus Henderson International Sustainable Equity ETF,All Cap Equities,0.6,4.74
ADM,MOO,VanEck Agribusiness ETF,Large Cap Blend Equities,0.56,4.61
ADM,FXG,First Trust Consumer Staples AlphaDEX Fund,Consumer Staples Equities,0.63,4.3
ADM,WBIG,WBI BullBear Yield 3000 ETF,Global Equities,1.14,4.06
ADM,UTRN,Vesper U.S. Large Cap Short-Term Reversal Strategy ETF,Large Cap Blend Equities,0.75,4.04
GOOGL,XLC,Communication Services Select Sector SPDR Fund,Large Cap Growth Equities,0.12,12.89
GOOGL,IXP,iShares Global Comm Services ETF,Large Cap Growth Equities,0.43,12.38
GOOGL,FCOM,Fidelity MSCI Communication Services Index ETF,Large Cap Growth Equities,0.08,11.54
GOOGL,VOX,Vanguard Communication Services ETF,Large Cap Growth Equities,0.1,11.49
GOOGL,PLAT,WisdomTree Growth Leaders Fund,Global Equities,0.2,10.6
GOOGL,FNGS,MicroSectors FANG+ ETN,Large Cap Growth Equities,0.58,9.74
GOOGL,SPMO,Invesco S&P 500® Momentum ETF,Large Cap Growth Equities,0.13,8.99
GOOGL,KNGS,UPHOLDINGS Compound Kings ETF,All Cap Equities,0.6,7.92
GOOGL,PGRO,Putnam Focused Large Cap Growth ETF,N/A,0.55,7.03
