Ticker,Year,Total_Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expense,Operating_Income,Net_Non_Operating_Interest_Income_Expense,Other_Income_Expense,Pretax_Income,Tax_Provision
AMZN,2018.0,232887000.0,173183000.0,59704000.0,47283000.0,12421000.0,-977000.0,-183000.0,11261000.0,1197000.0
AMZN,2017.0,177866000.0,137183000.0,40683000.0,36577000.0,4106000.0,-646000.0,346000.0,3806000.0,769000.0
AEE,2021.0,6177000.0,3195000.0,2982000.0,1635000.0,1347000.0,-399000.0,186000.0,1134000.0,149000.0
AEE,2020.0,5794000.0,2936000.0,2858000.0,1558000.0,1300000.0,-419000.0,151000.0,1032000.0,155000.0
AEE,2019.0,5910000.0,3167000.0,2743000.0,1476000.0,1267000.0,-348000.0,97000.0,1016000.0,182000.0
AEE,2018.0,6291000.0,3496000.0,2795000.0,1438000.0,1357000.0,-368000.0,69000.0,1058000.0,237000.0
AEE,2017.0,6177000.0,3346000.0,2831000.0,1373000.0,1458000.0,-357000.0,4000.0,1105000.0,576000.0
AEP,2021.0,16341200.0,6276400.0,10064800.0,6767000.0,3297800.0,-1183800.0,334800.0,2448800.0,168100.0
AEP,2020.0,14918500.0,5380100.0,9538400.0,6550700.0,2987700.0,-1165700.0,324100.0,2146100.0,40500.0
AEP,2019.0,15561400.0,6320000.0,9241400.0,6492700.0,2748700.0,-1072500.0,158600.0,1834800.0,-12900.0
AEP,2018.0,16195700.0,7033900.0,9161800.0,6408500.0,2753300.0,-972800.0,193000.0,1973500.0,115300.0
AEP,2017.0,15424900.0,6453100.0,8971800.0,5540600.0,3431200.0,-879000.0,264000.0,2816200.0,969700.0
AIG,2021.0,47749000.0,,,,,,,6493000.0,692000.0
AIG,2020.0,43839000.0,,,,,,,-7293000.0,-1460000.0
AIG,2019.0,49792000.0,,,,,,,5287000.0,1166000.0
AIG,2018.0,47481000.0,,,,,,,257000.0,154000.0
AIG,2017.0,49930000.0,,,,,,,1466000.0,7526000.0
AWK,2021.0,3902000.0,1715000.0,2187000.0,948000.0,1239000.0,-399000.0,87000.0,927000.0,164000.0
AWK,2020.0,3777000.0,1622000.0,2155000.0,907000.0,1248000.0,-395000.0,71000.0,924000.0,215000.0
AWK,2019.0,3610000.0,1544000.0,2066000.0,862000.0,1204000.0,-382000.0,11000.0,833000.0,212000.0
AWK,2018.0,3440000.0,1479000.0,1961000.0,822000.0,1139000.0,-350000.0,-2000.0,787000.0,222000.0
AWK,2017.0,3357000.0,1378000.0,1979000.0,751000.0,1228000.0,-342000.0,26000.0,912000.0,486000.0
ABC,2021.0,213988843.0,207045615.0,6943228.0,4099423.0,2843805.0,-174074.0,-447872.0,2221859.0,677251.0
ABC,2021.0,213988843.0,207045615.0,6943228.0,4099423.0,2843805.0,-174074.0,-447872.0,2221859.0,677251.0
ABC,2020.0,189893926.0,184702042.0,5191884.0,3158279.0,2033605.0,-137883.0,-7189553.0,-5293831.0,-1894273.0
ABC,2019.0,179589121.0,174450809.0,5138312.0,3125915.0,2012397.0,-157769.0,-887522.0,967106.0,112971.0
ABC,2018.0,167939635.0,163327318.0,4612317.0,2925428.0,1686889.0,-174699.0,-334767.0,1177423.0,-438469.0
AMGN,2021.0,25767000.0,6333000.0,19434000.0,10586000.0,8848000.0,-924000.0,,6447000.0,838000.0
AMGN,2020.0,25424000.0,6159000.0,19265000.0,10126000.0,9139000.0,-1006000.0,,8133000.0,869000.0
AMGN,2019.0,23362000.0,4356000.0,19006000.0,9332000.0,9674000.0,-536000.0,,9138000.0,1296000.0
